==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 2.44777356715252850999e+226; MIN: 7.08507541502014395392e+224; AVG: 5.62791192700895739436e+225
    * MAX: 1.24321490614143215225e-03; MIN: 1.11022302462515654042e-16; AVG: 2.45667440061010937565e-06
    * MAX: 7.24662506512707693673e-06; MIN: 4.99816671295505443595e-06; AVG: 5.90731961255184763807e-06
    * MAX: 7.05587112737049437783e-07; MIN: 3.77768671788736298822e-07; AVG: 4.89609030577084900201e-07
    * MAX: 3.31539119715618113560e-05; MIN: 3.01360848701248684733e-05; AVG: 3.15979475603578308096e-05
    * MAX: 1.69852834777967296541e+07; MIN: 1.65073699788896515965e+07; AVG: 1.67792539964641928673e+07
    * MAX: 2.81955414915824320587e-05; MIN: 3.81830234097435550211e-09; AVG: 4.88932576209456190461e-06
    * MAX: 1.22447840296135979088e-05; MIN: 1.05532506797789693564e-05; AVG: 1.12533365925412964792e-05
    * MAX: 1.20210149242447883466e-02; MIN: 1.11022302462515654042e-16; AVG: 2.02436472532960242746e-07
    * MAX: 1.47051992281914149610e+149; MIN: 1.28475748441473820580e+148; AVG: 4.79441637656585934848e+148
    * MAX: 5.15620158566086198189e+302; MIN: 2.74275147629840961904e+302; AVG: 
    * MAX: 3.30240940860093701303e-06; MIN: 1.11022302462515654042e-16; AVG: 1.71262003350597825202e-10
    * MAX: 1.53600093590888775452e-05; MIN: 3.92672436788643608452e-08; AVG: 3.92461254293225171304e-06
    * MAX: 4.96566308960666447092e-07; MIN: 2.93230368986208134174e-07; AVG: 3.67225025586768408320e-07
    * MAX: 3.52653383492063099425e-03; MIN: 1.11022302462515654042e-16; AVG: 1.21173692992847887121e-07
    * MAX: 2.81474976710655000000e+14; MIN: 2.81474976710655000000e+14; AVG: 2.81474976710655000000e+14
    * MAX: 3.06683089438530089410e+02; MIN: 6.80700307858390729621e+00; AVG: 8.14352501367509944430e+01
    * MAX: 1.06945889804088700714e-04; MIN: 2.19172989868177126027e-07; AVG: 2.00349282404285268576e-05
    * MAX: 2.61734000250868348303e-07; MIN: 1.39224835216111841873e-07; AVG: 1.80435571037533797502e-07
    * MAX: 1.44151473846498845433e-06; MIN: 2.08836758996966409541e-08; AVG: 6.25775745316616263040e-07
    * MAX: 6.55951991834768932677e-07; MIN: 3.77768671788736298822e-07; AVG: 4.90591818793501925611e-07
    * MAX: 1.02500595606125344261e-04; MIN: 5.87385043089305725061e-05; AVG: 7.50646265045441915455e-05
    * MAX: 2.05574955912205369258e+149; MIN: 1.24287146320334177141e+149; AVG: 1.53416341776930377522e+149
